CALL_TIME,lang,mainOption,subOption,IVRPosition,existingFault,suspendedAsset,dataLimitExceed,extraGBAdded,validAccount,outstanding,selectedQueue,enteredQueue,isAnswered,queue_time,talk_time,total_time,Column1,queue+talk,time_less_100,time_less_200,time_less_300,time_less_500,time_greater_500,CALL_DATE,CALL_TIME_ONLY,mainOption_clean,subOption_clean,Combination
2026-05-13 23:59:00,S,7.0,,S7,NO,NO,NO,NO,True,6467.85,S7,YES,YES,273,85,447,,358,False,False,False,True,False,2026-05-13,23:59:00,7,Null,7 + Null
2026-05-13 23:59:00,S,4.0,extragb,S4112,NO,NO,NO,NO,True,2979.45,S41,NO,NO,0,0,60,,0,True,True,True,True,False,2026-05-13,23:59:00,4,extragb,4 + extragb
2026-05-13 23:59:00,S,1.0,,S1,NO,NO,NO,NO,True,-84.53,S1,YES,YES,225,172,480,,397,False,False,False,True,False,2026-05-13,23:59:00,1,Null,1 + Null
2026-05-13 23:59:00,S,1.0,,SLty1,NO,NO,NO,NO,False,,S1,YES,NO,0,0,129,,0,False,True,True,True,False,2026-05-13,23:59:00,1,Null,1 + Null
2026-05-13 23:59:00,S,,,S,NO,NO,NO,NO,False,,,NO,NO,0,0,74,,0,True,True,True,True,False,2026-05-13,23:59:00,Null,Null,Null + Null
2026-05-13 23:59:00,S,2.0,peotv,S21,NO,YES,NO,NO,True,-435.55,S2,YES,YES,291,43,405,,334,False,False,False,True,False,2026-05-13,23:59:00,2,peotv,2 + peotv
2026-05-13 23:59:00,S,4.0,extragb,S4112,NO,NO,NO,NO,True,8515.52,S41,NO,NO,0,0,65,,0,True,True,True,True,False,2026-05-13,23:59:00,4,extragb,4 + extragb
2026-05-13 23:59:00,T,,,T,NO,NO,NO,NO,False,,,NO,NO,0,0,10,,0,True,True,True,True,False,2026-05-13,23:59:00,Null,Null,Null + Null
2026-05-13 23:58:00,S,2.0,voice,MOBITEL_S23,NO,NO,NO,NO,True,1136.81,S2,NO,NO,0,0,124,,0,False,True,True,True,False,2026-05-13,23:58:00,2,voice,2 + voice
2026-05-13 23:58:00,S,4.0,extragb,S41i,NO,NO,NO,NO,False,,S41,YES,NO,0,0,136,,0,False,True,True,True,False,2026-05-13,23:58:00,4,extragb,4 + extragb
2026-05-13 23:58:00,S,2.0,broadband,S22,NO,NO,NO,NO,True,-5090.17,S2,YES,YES,229,101,416,,330,False,False,False,True,False,2026-05-13,23:58:00,2,broadband,2 + broadband
2026-05-13 23:58:00,S,4.0,extragb,S411,NO,NO,NO,NO,True,19567.94,S41,NO,NO,0,0,34,,0,True,True,True,True,False,2026-05-13,23:58:00,4,extragb,4 + extragb
2026-05-13 23:58:00,S,2.0,broadband,MOBITEL_S221,NO,YES,NO,NO,True,4991.15,S2,YES,YES,244,42,381,,286,False,False,False,True,False,2026-05-13,23:58:00,2,broadband,2 + broadband
2026-05-13 23:58:00,S,,,S,NO,NO,NO,NO,False,,,NO,NO,0,0,444,,0,False,False,False,True,False,2026-05-13,23:58:00,Null,Null,Null + Null
2026-05-13 23:58:00,S,3.0,,S3,NO,NO,NO,NO,True,-14.39,S3,NO,NO,0,0,89,,0,True,True,True,True,False,2026-05-13,23:58:00,3,Null,3 + Null
2026-05-13 23:58:00,S,4.0,extragb,S4111,NO,NO,NO,YES,True,2988.46,S41,NO,NO,0,0,53,,0,True,True,True,True,False,2026-05-13,23:58:00,4,extragb,4 + extragb
2026-05-13 23:58:00,S,4.0,extragb,S411,NO,NO,NO,NO,True,19567.94,S41,NO,NO,0,0,26,,0,True,True,True,True,False,2026-05-13,23:58:00,4,extragb,4 + extragb
2026-05-13 23:57:00,S,7.0,,S7,NO,NO,NO,NO,True,2886.31,S7,YES,NO,0,0,133,,0,False,True,True,True,False,2026-05-13,23:57:00,7,Null,7 + Null
2026-05-13 23:57:00,S,2.0,broadband,S221,NO,YES,NO,NO,True,18216.77,S2,YES,YES,204,88,354,,292,False,False,False,True,False,2026-05-13,23:57:00,2,broadband,2 + broadband
2026-05-13 23:57:00,S,4.0,extragb,S4111,NO,NO,NO,YES,True,29428.83,S41,NO,NO,0,0,35,,0,True,True,True,True,False,2026-05-13,23:57:00,4,extragb,4 + extragb
2026-05-13 23:57:00,S,4.0,addon,S41211,NO,NO,YES,YES,True,2143459.83,S41,NO,NO,0,0,129,,0,False,True,True,True,False,2026-05-13,23:57:00,4,addon,4 + addon
2026-05-13 23:57:00,S,4.0,extragb,S411,NO,NO,NO,NO,True,2640.14,S41,YES,YES,209,55,312,,264,False,False,False,True,False,2026-05-13,23:57:00,4,extragb,4 + extragb
2026-05-13 23:57:00,T,,,T,NO,NO,NO,NO,False,,,NO,NO,0,0,246,,0,False,False,True,True,False,2026-05-13,23:57:00,Null,Null,Null + Null
2026-05-13 23:57:00,T,7.0,,MOBITEL_T7,NO,NO,NO,NO,False,,T7,YES,YES,0,20,139,,20,False,True,True,True,False,2026-05-13,23:57:00,7,Null,7 + Null
2026-05-13 23:57:00,S,7.0,,S7,NO,NO,NO,NO,True,11568.52,S7,YES,NO,0,0,306,,0,False,False,False,True,False,2026-05-13,23:57:00,7,Null,7 + Null
2026-05-13 23:57:00,S,2.0,peotv,S211,NO,YES,NO,NO,True,3043.58,S2,YES,YES,208,52,388,,260,False,False,False,True,False,2026-05-13,23:57:00,2,peotv,2 + peotv
2026-05-13 23:57:00,S,,,S,NO,NO,NO,NO,False,,,NO,NO,0,0,772,,0,False,False,False,False,True,2026-05-13,23:57:00,Null,Null,Null + Null
2026-05-13 23:57:00,S,4.0,extragb,S4112,NO,NO,NO,NO,True,-37.06,S41,NO,NO,0,0,67,,0,True,True,True,True,False,2026-05-13,23:57:00,4,extragb,4 + extragb
2026-05-13 23:57:00,S,4.0,extragb,S4111,NO,NO,NO,YES,True,5625.11,S41,NO,NO,0,0,44,,0,True,True,True,True,False,2026-05-13,23:57:00,4,extragb,4 + extragb
2026-05-13 23:57:00,S,4.0,extragb,S4111,NO,NO,NO,YES,True,14521.03,S41,NO,NO,0,0,92,,0,True,True,True,True,False,2026-05-13,23:57:00,4,extragb,4 + extragb
2026-05-13 23:57:00,S,4.0,extragb,S41t,NO,NO,NO,NO,True,2970.14,S41,YES,NO,0,0,305,,0,False,False,False,True,False,2026-05-13,23:57:00,4,extragb,4 + extragb
2026-05-13 23:57:00,S,,,S,NO,NO,NO,NO,False,,,NO,NO,0,0,184,,0,False,True,True,True,False,2026-05-13,23:57:00,Null,Null,Null + Null
2026-05-13 23:57:00,S,7.0,,S7,NO,NO,NO,NO,True,1603.97,S7,YES,YES,162,179,374,,341,False,False,False,True,False,2026-05-13,23:57:00,7,Null,7 + Null
2026-05-13 23:57:00,S,,,S,NO,NO,NO,NO,False,,,NO,NO,0,0,24,,0,True,True,True,True,False,2026-05-13,23:57:00,Null,Null,Null + Null
2026-05-13 23:56:00,S,2.0,peotv,S21,NO,NO,NO,NO,True,3874.59,S2,YES,YES,222,39,305,,261,False,False,False,True,False,2026-05-13,23:56:00,2,peotv,2 + peotv
2026-05-13 23:56:00,S,2.0,peotv,S211,NO,YES,NO,NO,True,3110.9,S2,YES,YES,190,88,350,,278,False,False,False,True,False,2026-05-13,23:56:00,2,peotv,2 + peotv
2026-05-13 23:56:00,S,,,S,NO,NO,NO,NO,False,,S6,NO,YES,179,117,357,,296,False,False,False,True,False,2026-05-13,23:56:00,Null,Null,Null + Null
2026-05-13 23:56:00,S,2.0,broadband,S22,YES,NO,NO,NO,True,95.42,S2,YES,YES,197,81,362,,278,False,False,False,True,False,2026-05-13,23:56:00,2,broadband,2 + broadband
2026-05-13 23:56:00,S,,,S,NO,NO,NO,NO,False,,,NO,NO,0,0,69,,0,True,True,True,True,False,2026-05-13,23:56:00,Null,Null,Null + Null
2026-05-13 23:56:00,S,4.0,extragb,S4111,NO,NO,NO,YES,True,11549.26,S41,NO,NO,0,0,26,,0,True,True,True,True,False,2026-05-13,23:56:00,4,extragb,4 + extragb
2026-05-13 23:56:00,S,1.0,,S1,NO,NO,NO,NO,True,11830.37,S1,YES,YES,327,501,899,,828,False,False,False,False,True,2026-05-13,23:56:00,1,Null,1 + Null
2026-05-13 23:56:00,S,1.0,,SLty1,NO,NO,NO,NO,False,,S1,YES,YES,162,122,339,,284,False,False,False,True,False,2026-05-13,23:56:00,1,Null,1 + Null
2026-05-13 23:56:00,S,,,S,NO,NO,NO,NO,False,,,NO,NO,0,0,22,,0,True,True,True,True,False,2026-05-13,23:56:00,Null,Null,Null + Null
2026-05-13 23:55:00,T,7.0,,T7,NO,NO,NO,NO,True,2700.84,T7,YES,YES,0,112,251,,112,False,False,True,True,False,2026-05-13,23:55:00,7,Null,7 + Null
2026-05-13 23:55:00,S,,,S,NO,NO,NO,NO,False,,,NO,NO,0,0,24,,0,True,True,True,True,False,2026-05-13,23:55:00,Null,Null,Null + Null
2026-05-13 23:55:00,S,6.0,1,S1,NO,NO,NO,NO,,,ECS,YES,YES,247,249,521,,496,False,False,False,False,True,2026-05-13,23:55:00,6,1,6 + 1
